"Entity","Year","Deaths - Self-harm - Sex: Both - Age: 70+ years (Rate)","Deaths - Self-harm - Sex: Both - Age: 50-69 years (Rate)","Deaths - Self-harm - Sex: Both - Age: 5-14 years (Rate)","Deaths - Self-harm - Sex: Both - Age: 15-49 years (Rate)"
"Southeast Asia","2013","16.322586624238","9.6657565060132","0.20550803687831","7.2528520451274"
"Southeast Asia","2014","16.500684356337","9.6051018268436","0.2090796082683","7.2368582595829"
"Southeast Asia","2015","16.660543675422","9.59381669743","0.2083211911186","7.251993674655"
"Southeast Asia","2016","16.765509559662","9.6096587338867","0.20377043894072","7.2544711883701"
"Southeast Asia","2017","16.806760743179","9.5613305753738","0.19765373030709","7.2269221410762"
"Sub-Saharan Africa","2000","57.208426606065","28.278381189433","0.59322090749607","10.482204799287"
"Sub-Saharan Africa","2001","56.373488813439","27.608648490194","0.57886113077248","10.192837663792"
"Sub-Saharan Africa","2002","55.787934992545","27.172024509043","0.55878775376211","10.111416875442"
"Sub-Saharan Africa","2003","55.230113994175","26.830473300654","0.55011973313846","10.031068304536"
"Sub-Saharan Africa","2004","54.490876453371","26.388835898429","0.54241517617533","9.8388489079816"
"Sub-Saharan Africa","2005","53.720286185934","25.891864226493","0.53612841258176","9.5596933508953"
"Sub-Saharan Africa","2006","53.217428544381","25.564456205365","0.53900535332097","9.3351559715923"
"Sub-Saharan Africa","2007","52.683326940295","25.182022221747","0.53706697239255","9.0290716539359"
"Sub-Saharan Africa","2008","52.292427318454","24.870030017387","0.53344105829761","8.7654378625797"
"Sub-Saharan Africa","2009","51.946131942133","24.585277567999","0.53248004793067","8.4846508344727"
"Sub-Saharan Africa","2010","51.708086894699","24.330782624222","0.52822313667262","8.2102889352922"
"Sub-Saharan Africa","2011","51.205992588473","23.95095599768","0.52057810612737","7.9080918791746"
"Sub-Saharan Africa","2012","50.830450042859","23.661380936206","0.51515712621404","7.703875448648"
"Sub-Saharan Africa","2013","50.424402135951","23.349190778949","0.50645469335352","7.5136919641256"
"Sub-Saharan Africa","2014","50.164177015279","23.127331193124","0.50408485125343","7.3944552222966"
"Sub-Saharan Africa","2015","49.941080284717","22.925952468163","0.50335288852432","7.3294847247451"
"Sub-Saharan Africa","2016","49.710233829456","22.788726604491","0.50129101855937","7.2995578854941"
"Sub-Saharan Africa","2017","49.337150136055","22.592832571737","0.49654964884886","7.2948823571192"
"Western Europe","2000","26.292217426115","17.763363122903","0.30520534409905","14.112318402496"
"Western Europe","2001","25.444666776191","17.472708521836","0.30070207343304","13.876873981274"
"Western Europe","2002","25.08677288134","17.364296214612","0.28633746087858","13.620346512623"
"Western Europe","2003","24.714431563896","17.288614064977","0.28144956958681","13.33642399451"
"Western Europe","2004","23.457457113974","16.751839900393","0.26429522347593","12.764314892946"
"Western Europe","2005","22.893160610056","16.634477462225","0.25068725759017","12.466923034398"
"Western Europe","2006","22.329700539026","16.500469094802","0.24028417637245","12.214182194209"
"Western Europe","2007","22.063221997397","16.421341121028","0.23460758279715","12.063041376058"
"Western Europe","2008","21.977698537879","16.532654274634","0.22804549907186","12.046374951466"
"Western Europe","2009","21.916966493963","16.713048263569","0.22857607777499","12.023202700017"
"Western Europe","2010","21.712413686299","16.681425346296","0.22361719550534","11.828412683577"
"Western Europe","2011","21.545299863865","16.621814509882","0.21915091852103","11.64062995826"
"Western Europe","2012","21.481578226367","16.454659676684","0.20947290533493","11.327190130825"
"Western Europe","2013","21.430029896323","16.45777277615","0.19470435809177","11.156349317249"
"Western Europe","2014","21.048902424507","16.037071038042","0.19019744731585","10.845662182594"
"Western Europe","2015","21.399692436699","16.051531327229","0.18889763719584","10.783647944023"
"Western Europe","2016","21.356764044105","15.835030592818","0.18017121343878","10.579350882884"
"Western Europe","2017","21.170449304838","15.671634418673","0.17575171269727","10.532917638336"
